Order ID,price,Products,Total Revenue,Quantity Ordered,Purchase Address,Date,new date
176558,4000,Trimmer Shever,8000,2,"917 1st St, Dallas, TX 75001",10-Feb-20,10/02/2019
176559,8000,Bluethoth Speakers,8000,1,"Clifton Block 4, Karachi ya Tariq Road, Karachi",12-Feb-20,16/01/2018
176560,60000,Tablets,60000,1,"Clifton Block 4, Karachi ya Tariq Road, Karachi",13-Jan-20,13/01/2019
176560,12000,Smart Watches,12000,1,"Clifton Block 4, Karachi ya Tariq Road, Karachi",14-Jan-19,14/01/2018
176561,12000,Smart Watches,12000,1,"333 8th St, Los Angeles, CA 90001",15-Jan-19,15/01/2018
176562,4000,Trimmer Shever,4000,1,"381 Wilson St, San Francisco, CA 94016",16-Jan-19,16/01/2018
176563,8000,Bluethoth Speakers,8000,1,"668 Center St, Seattle, WA 98101",17-Jan-19,17/01/2018
176564,4000,Trimmer Shever,4000,1,"790 Ridge St, Atlanta, GA 30301",18-Jan-19,18/01/2018
176565,150000,Laptops,150000,1,"915 Willow St, San Francisco, CA 94016",19-Jan-19,19/01/2018
176566,12000,Smart Watches,12000,1,"83 7th St, Boston, MA 02215",20-Jan-19,20/01/2018
176567,60000,Tablets,60000,1,"444 7th St, Los Angeles, CA 90001",21-Apr-21,21/04/2020
176568,60000,Tablets,60000,1,"438 Elm St, Seattle, WA 98101",22-Jan-19,22/01/2018
176569,6500,Wireless Earbuds,6500,1,"657 Hill St, Dallas, TX 75001",23-Jan-19,23/01/2018
176570,12000,Smart Watches,12000,1,"186 12th St, Dallas, TX 75001",24-Jan-19,24/01/2018
176571,60000,Tablets,60000,1,"253 Johnson St, Atlanta, GA 30301",25-Jan-19,25/01/2018
176572,6500,Wireless Earbuds,6500,1,"149 Dogwood St, New York City, NY 10001",26-Jan-19,26/01/2018
176573,4000,Trimmer Shever,4000,1,"214 Chestnut St, San Francisco, CA 94016",27-Jul-20,27/07/2019
176574,60000,Tablets,60000,1,"20 Hill St, Los Angeles, CA 90001",28-Jan-19,28/01/2018
176574,4000,Trimmer Shever,4000,1,"20 Hill St, Los Angeles, CA 90001",29-Jan-19,29/01/2018
176575,12000,Smart Watches,12000,1,"433 Hill St, New York City, NY 10001",30-Jun-19,30/06/2018
176576,6500,Wireless Earbuds,6500,1,"771 Ridge St, Los Angeles, CA 90001",01-Jul-19,01/07/2018
176577,6500,Wireless Earbuds,6500,1,"260 Spruce St, Dallas, TX 75001",02-Jul-19,02/07/2018
176578,6500,Wireless Earbuds,6500,1,"513 Church St, Boston, MA 02215",03-Jul-19,03/07/2018
176579,12000,Smart Watches,12000,1,"886 Jefferson St, New York City, NY 10001",04-Jul-19,04/07/2018
